"Drug Name","Manufacturer","Dosage Form","Strength","Package Size","Units Sold","Revenue","Sale Date","Region","Sales Representative","Customer Type","Month","Quarter","Revenue Category","Target Multiplier","Target Revenue","Achievement Percentage","Performance Status"
"Drug B","Company X","Injection","10 mg","50 g","454","37133","2024-01-19 00:00:00","Europe","Brandon Cooper","Online Pharmacy","Jan","Q1","Medium","1.1","40846.3","0.9091","Below Target"
"Drug C","Company Y","Cream","10 mg","30","1550","45767","2023-09-09 00:00:00","North America","Cathy Gonzalez","Online Pharmacy","Sep","Q3","High","1.2","54920.4","0.8333","Below Target"
"Drug D","Company V","Syrup","50 mg","100 ml","1488","19770","2024-07-11 00:00:00","North America","Mrs. Hailey Johnson DDS","Online Pharmacy","Jul","Q3","Low","1.2","23724.0","0.8333","Below Target"
"Drug B","Company V","Syrup","250 mg","30","1207","29546","2023-11-08 00:00:00","Europe","Austin Martinez","Pharmacy","Nov","Q4","Medium","1.1","32500.6","0.9091","Below Target"
"Drug E","Company W","Injection","500 mg","30","751","46620","2024-04-16 00:00:00","Europe","Stephanie Davis","Clinics","Apr","Q2","High","1.1","51282.0","0.9091","Below Target"
"Drug A","Company V","Injection","100 mg/ml","60","1388","44954","2024-01-26 00:00:00","Africa","Erica Bass","Clinics","Jan","Q1","High","0.9","40458.6","1.1111","Achieved"
"Drug D","Company X","Tablet","100 mg/ml","100 ml","712","24140","2023-11-18 00:00:00","Africa","Jonathan Brown","Hospitals","Nov","Q4","Medium","0.9","21726.0","1.1111","Achieved"
"Drug A","Company Y","Tablet","500 mg","100 ml","1428","1848","2024-02-09 00:00:00","Asia","Zachary Miller","Hospitals","Feb","Q1","Low","0.95","1755.6","1.0526","Achieved"
"Drug B","Company Y","Injection","250 mg","100 ml","1437","1329","2024-03-31 00:00:00","South America","Dr. Laura Shaffer","Hospitals","Mar","Q1","Low","1.1","1461.9","0.9091","Below Target"
"Drug E","Company Z","Syrup","50 mg","60","818","34522","2024-03-13 00:00:00","Europe","Paul Smith","Clinics","Mar","Q1","Medium","1.1","37974.2","0.9091","Below Target"
"Drug D","Company Y","Tablet","10 mg","30","1094","34972","2024-05-11 00:00:00","Europe","Stacey Hart","Online Pharmacy","May","Q2","Medium","1.1","38469.2","0.9091","Below Target"
"Drug C","Company W","Capsule","50 mg","60","1882","1492","2023-12-17 00:00:00","South America","Dr. Sara Wilson","Hospitals","Dec","Q4","Low","1.1","1641.2","0.9091","Below Target"
"Drug D","Company V","Tablet","250 mg","10 ml","1247","40432","2024-02-15 00:00:00","Europe","Gary Lucas","Hospitals","Feb","Q1","High","1.1","44475.2","0.9091","Below Target"
"Drug C","Company Y","Capsule","500 mg","100 ml","1989","14261","2023-10-25 00:00:00","North America","Jacqueline Greene","Hospitals","Oct","Q4","Low","1.2","17113.2","0.8333","Below Target"
"Drug A","Company X","Cream","50 mg","100 ml","1725","26182","2023-11-18 00:00:00","South America","Joseph Ross","Online Pharmacy","Nov","Q4","Medium","1.1","28800.2","0.9091","Below Target"
"Drug E","Company V","Cream","50 mg","50 g","815","33782","2023-10-05 00:00:00","Asia","John Davila","Pharmacy","Oct","Q4","Medium","0.95","32092.9","1.0526","Achieved"
"Drug D","Company W","Syrup","250 mg","60","135","40651","2024-04-07 00:00:00","Europe","Jerry Michael","Clinics","Apr","Q2","High","1.1","44716.1","0.9091","Below Target"
"Drug A","Company X","Syrup","500 mg","30","1664","25573","2024-06-23 00:00:00","South America","Christina Blankenship","Online Pharmacy","Jun","Q2","Medium","1.1","28130.3","0.9091","Below Target"
"Drug D","Company V","Syrup","50 mg","50 g","1402","31956","2023-10-17 00:00:00","Asia","Daniel Bryant","Clinics","Oct","Q4","Medium","0.95","30358.2","1.0526","Achieved"
"Drug B","Company X","Capsule","250 mg","10 ml","153","30983","2024-01-07 00:00:00","Africa","Maria Moore","Pharmacy","Jan","Q1","Medium","0.9","27884.7","1.1111","Achieved"
"Drug B","Company X","Tablet","250 mg","60","399","21160","2024-07-04 00:00:00","Europe","Danny Pennington","Hospitals","Jul","Q3","Medium","1.1","23276.0","0.9091","Below Target"
"Drug C","Company X","Cream","100 mg/ml","50 g","314","43409","2024-02-15 00:00:00","North America","Geoffrey Elliott","Pharmacy","Feb","Q1","High","1.2","52090.8","0.8333","Below Target"
"Drug D","Company V","Cream","100 mg/ml","60","504","46392","2024-04-12 00:00:00","South America","Heather Simmons","Pharmacy","Apr","Q2","High","1.1","51031.2","0.9091","Below Target"
"Drug B","Company W","Injection","250 mg","30","214","10257","2023-11-02 00:00:00","Asia","Mark Mckinney","Hospitals","Nov","Q4","Low","0.95","9744.15","1.0526","Achieved"
"Drug D","Company V","Capsule","10 mg","100 ml","1738","17663","2023-11-27 00:00:00","Asia","Amy Dickson","Pharmacy","Nov","Q4","Low","0.95","16779.85","1.0526","Achieved"
"Drug B","Company V","Injection","100 mg/ml","30","167","4175","2023-08-15 00:00:00","North America","Bradley Dean","Clinics","Aug","Q3","Low","1.2","5010.0","0.8333","Below Target"
"Drug A","Company X","Syrup","500 mg","30","1696","26976","2024-02-01 00:00:00","South America","Dylan Warren","Pharmacy","Feb","Q1","Medium","1.1","29673.6","0.9091","Below Target"
"Drug B","Company X","Cream","10 mg","10 ml","1216","32615","2023-10-22 00:00:00","South America","Ryan Thompson","Hospitals","Oct","Q4","Medium","1.1","35876.5","0.9091","Below Target"
"Drug C","Company V","Capsule","10 mg","10 ml","599","1411","2023-12-04 00:00:00","North America","Alicia Flynn","Online Pharmacy","Dec","Q4","Low","1.2","1693.2","0.8333","Below Target"
"Drug D","Company W","Cream","250 mg","30","609","25953","2024-02-06 00:00:00","North America","Felicia Wallace","Pharmacy","Feb","Q1","Medium","1.2","31143.6","0.8333","Below Target"
"Drug B","Company V","Syrup","50 mg","10 ml","1199","4779","2024-06-04 00:00:00","South America","Jeffrey Molina","Clinics","Jun","Q2","Low","1.1","5256.9","0.9091","Below Target"
"Drug E","Company Z","Syrup","50 mg","50 g","1238","30313","2024-02-11 00:00:00","South America","Dustin Stephenson","Hospitals","Feb","Q1","Medium","1.1","33344.3","0.9091","Below Target"
"Drug B","Company X","Cream","10 mg","60","354","11544","2024-06-25 00:00:00","South America","Autumn Francis","Pharmacy","Jun","Q2","Low","1.1","12698.4","0.9091","Below Target"
"Drug D","Company V","Cream","50 mg","10 ml","489","48883","2024-01-05 00:00:00","South America","Audrey Pennington","Online Pharmacy","Jan","Q1","High","1.1","53771.3","0.9091","Below Target"
"Drug A","Company Z","Tablet","500 mg","10 ml","1042","34649","2024-07-13 00:00:00","North America","Thomas Chapman","Online Pharmacy","Jul","Q3","Medium","1.2","41578.8","0.8333","Below Target"
"Drug B","Company Z","Capsule","100 mg/ml","60","392","33170","2024-06-10 00:00:00","Europe","David Johnson","Pharmacy","Jun","Q2","Medium","1.1","36487.0","0.9091","Below Target"
"Drug D","Company Y","Injection","500 mg","100 ml","786","22000","2024-04-01 00:00:00","Asia","Donna Lucas","Online Pharmacy","Apr","Q2","Medium","0.95","20900.0","1.0526","Achieved"
"Drug A","Company V","Tablet","50 mg","100 ml","1347","29744","2024-07-19 00:00:00","South America","Michael Robinson","Hospitals","Jul","Q3","Medium","1.1","32718.4","0.9091","Below Target"
"Drug B","Company Y","Syrup","50 mg","60","499","14526","2024-04-10 00:00:00","North America","Austin Martin","Hospitals","Apr","Q2","Low","1.2","17431.2","0.8333","Below Target"
"Drug E","Company Y","Capsule","50 mg","60","489","25559","2023-12-22 00:00:00","South America","Julie Ferguson","Online Pharmacy","Dec","Q4","Medium","1.1","28114.9","0.9091","Below Target"
"Drug E","Company W","Capsule","250 mg","30","963","24965","2023-10-04 00:00:00","Europe","Justin Coffey","Hospitals","Oct","Q4","Medium","1.1","27461.5","0.9091","Below Target"
"Drug A","Company Y","Cream","250 mg","100 ml","1650","36514","2024-06-26 00:00:00","Europe","Daniel Kelly","Hospitals","Jun","Q2","Medium","1.1","40165.4","0.9091","Below Target"
"Drug B","Company Z","Capsule","500 mg","100 ml","1826","46602","2024-07-10 00:00:00","Asia","Leah Miller","Supermarkets","Jul","Q3","High","0.95","44271.9","1.0526","Achieved"
"Drug D","Company V","Cream","500 mg","60","608","28326","2024-05-05 00:00:00","North America","Amy Jackson","Clinics","May","Q2","Medium","1.2","33991.2","0.8333","Below Target"
"Drug C","Company Y","Tablet","500 mg","100 ml","297","20215","2024-06-19 00:00:00","Europe","Brian Dennis","Pharmacy","Jun","Q2","Medium","1.1","22236.5","0.9091","Below Target"
"Drug C","Company Y","Cream","250 mg","60","1095","23543","2023-09-13 00:00:00","South America","Elizabeth Branch","Clinics","Sep","Q3","Medium","1.1","25897.3","0.9091","Below Target"
"Drug D","Company Z","Tablet","10 mg","30","1585","34365","2024-03-25 00:00:00","Europe","Rebecca Baker","Hospitals","Mar","Q1","Medium","1.1","37801.5","0.9091","Below Target"
"Drug E","Company W","Injection","500 mg","50 g","749","13462","2023-08-26 00:00:00","Europe","Ryan Beck","Clinics","Aug","Q3","Low","1.1","14808.2","0.9091","Below Target"
"Drug B","Company X","Capsule","10 mg","50 g","1666","32893","2023-09-30 00:00:00","North America","Annette Bartlett","Clinics","Sep","Q3","Medium","1.2","39471.6","0.8333","Below Target"
"Drug A","Company W","Cream","50 mg","60","371","25596","2024-03-01 00:00:00","Europe","Cameron Garcia","Online Pharmacy","Mar","Q1","Medium","1.1","28155.6","0.9091","Below Target"
"Drug D","Company Y","Syrup","250 mg","100 ml","1663","20214","2023-12-09 00:00:00","South America","Carlos Sawyer","Hospitals","Dec","Q4","Medium","1.1","22235.4","0.9091","Below Target"
"Drug E","Company Z","Tablet","500 mg","50 g","698","1522","2023-08-03 00:00:00","North America","Anthony Bell","Hospitals","Aug","Q3","Low","1.2","1826.4","0.8333","Below Target"
"Drug B","Company Y","Tablet","500 mg","50 g","1595","16585","2024-07-13 00:00:00","Asia","Adam Brown","Online Pharmacy","Jul","Q3","Low","0.95","15755.75","1.0526","Achieved"
"Drug E","Company Y","Injection","100 mg/ml","60","1474","32199","2024-01-09 00:00:00","South America","Phyllis Robertson","Clinics","Jan","Q1","Medium","1.1","35418.9","0.9091","Below Target"
"Drug B","Company V","Cream","250 mg","10 ml","1611","37594","2024-06-04 00:00:00","North America","Justin Hamilton","Pharmacy","Jun","Q2","Medium","1.2","45112.8","0.8333","Below Target"
"Drug E","Company V","Injection","10 mg","10 ml","1876","26559","2023-08-28 00:00:00","South America","Lucas Dunn","Online Pharmacy","Aug","Q3","Medium","1.1","29214.9","0.9091","Below Target"
"Drug C","Company Z","Cream","500 mg","60","939","22379","2024-04-22 00:00:00","Asia","Aaron Douglas","Online Pharmacy","Apr","Q2","Medium","0.95","21260.05","1.0526","Achieved"
"Drug A","Company V","Cream","50 mg","60","1075","41442","2024-05-11 00:00:00","Europe","Gregory Ross","Hospitals","May","Q2","High","1.1","45586.2","0.9091","Below Target"
"Drug B","Company Y","Syrup","10 mg","30","868","41228","2024-06-19 00:00:00","Europe","Corey Wong","Online Pharmacy","Jun","Q2","High","1.1","45350.8","0.9091","Below Target"
"Drug E","Company X","Cream","50 mg","10 ml","1135","42632","2024-03-26 00:00:00","Africa","Bobby Price","Online Pharmacy","Mar","Q1","High","0.9","38368.8","1.1111","Achieved"
"Drug E","Company W","Capsule","250 mg","30","1780","28351","2023-09-28 00:00:00","Asia","Nicole Jones","Supermarkets","Sep","Q3","Medium","0.95","26933.45","1.0526","Achieved"
"Drug D","Company V","Injection","100 mg/ml","10 ml","833","42915","2024-04-02 00:00:00","Asia","Bonnie Thompson","Clinics","Apr","Q2","High","0.95","40769.25","1.0526","Achieved"
"Drug B","Company Z","Syrup","250 mg","10 ml","1134","26634","2024-03-26 00:00:00","Asia","Dawn Rogers","Hospitals","Mar","Q1","Medium","0.95","25302.3","1.0526","Achieved"
"Drug A","Company Y","Cream","50 mg","100 ml","1706","21681","2023-08-03 00:00:00","Europe","Robert Kelley","Hospitals","Aug","Q3","Medium","1.1","23849.1","0.9091","Below Target"
"Drug C","Company Z","Cream","250 mg","10 ml","1395","22835","2024-02-08 00:00:00","Europe","Anna Jordan","Supermarkets","Feb","Q1","Medium","1.1","25118.5","0.9091","Below Target"
"Drug E","Company X","Tablet","10 mg","100 ml","1693","31240","2024-06-26 00:00:00","South America","Seth Jenkins","Online Pharmacy","Jun","Q2","Medium","1.1","34364.0","0.9091","Below Target"
"Drug E","Company Y","Syrup","10 mg","30","1549","9455","2024-02-23 00:00:00","Europe","Tiffany Brown","Pharmacy","Feb","Q1","Low","1.1","10400.5","0.9091","Below Target"
"Drug E","Company X","Cream","10 mg","10 ml","100","32910","2023-10-29 00:00:00","North America","Michael Ortiz","Hospitals","Oct","Q4","Medium","1.2","39492.0","0.8333","Below Target"
"Drug B","Company V","Cream","50 mg","50 g","826","24350","2023-11-10 00:00:00","North America","Lauren Brown","Clinics","Nov","Q4","Medium","1.2","29220.0","0.8333","Below Target"
"Drug C","Company W","Cream","500 mg","50 g","1308","17828","2024-01-13 00:00:00","Asia","Barbara Richard","Supermarkets","Jan","Q1","Low","0.95","16936.6","1.0526","Achieved"
"Drug B","Company Y","Capsule","500 mg","100 ml","1691","37249","2023-10-25 00:00:00","North America","Haley Maldonado","Supermarkets","Oct","Q4","Medium","1.2","44698.8","0.8333","Below Target"
"Drug B","Company Z","Syrup","10 mg","10 ml","1028","7222","2024-04-01 00:00:00","Africa","Timothy Crosby","Supermarkets","Apr","Q2","Low","0.9","6499.8","1.1111","Achieved"
"Drug D","Company Y","Cream","100 mg/ml","30","1134","5856","2023-11-03 00:00:00","North America","Robin Benton","Hospitals","Nov","Q4","Low","1.2","7027.2","0.8333","Below Target"
"Drug A","Company V","Cream","250 mg","50 g","1503","19148","2024-06-26 00:00:00","Asia","Mr. David Bennett","Pharmacy","Jun","Q2","Low","0.95","18190.6","1.0526","Achieved"
"Drug A","Company W","Tablet","500 mg","10 ml","1509","30615","2023-12-09 00:00:00","Europe","Alexander Maynard","Hospitals","Dec","Q4","Medium","1.1","33676.5","0.9091","Below Target"
"Drug D","Company V","Syrup","10 mg","10 ml","578","33113","2024-02-17 00:00:00","Asia","Julia Stevens","Clinics","Feb","Q1","Medium","0.95","31457.35","1.0526","Achieved"
"Drug C","Company V","Cream","250 mg","10 ml","1195","42794","2023-09-09 00:00:00","North America","Kimberly Stewart","Online Pharmacy","Sep","Q3","High","1.2","51352.8","0.8333","Below Target"
"Drug D","Company Y","Injection","50 mg","60","485","29314","2024-03-01 00:00:00","North America","Rachel Allen","Pharmacy","Mar","Q1","Medium","1.2","35176.8","0.8333","Below Target"
"Drug E","Company Z","Tablet","100 mg/ml","60","819","47811","2023-10-03 00:00:00","South America","Tracy Erickson","Supermarkets","Oct","Q4","High","1.1","52592.1","0.9091","Below Target"
"Drug C","Company X","Syrup","100 mg/ml","100 ml","1654","16660","2024-04-04 00:00:00","South America","William Parks","Pharmacy","Apr","Q2","Low","1.1","18326.0","0.9091","Below Target"
"Drug D","Company W","Capsule","500 mg","60","1957","32269","2024-04-27 00:00:00","Europe","Paul Morgan","Online Pharmacy","Apr","Q2","Medium","1.1","35495.9","0.9091","Below Target"
"Drug E","Company Z","Cream","50 mg","60","799","10708","2024-03-24 00:00:00","Europe","Jessica Vincent","Hospitals","Mar","Q1","Low","1.1","11778.8","0.9091","Below Target"
"Drug C","Company V","Cream","10 mg","100 ml","1532","5489","2024-04-13 00:00:00","North America","Elizabeth Ray","Clinics","Apr","Q2","Low","1.2","6586.8","0.8333","Below Target"
"Drug A","Company W","Injection","250 mg","100 ml","1786","11345","2023-09-12 00:00:00","Africa","James Graham","Hospitals","Sep","Q3","Low","0.9","10210.5","1.1111","Achieved"
"Drug B","Company Z","Syrup","50 mg","100 ml","1927","8953","2024-01-02 00:00:00","Asia","Darrell Kelly","Hospitals","Jan","Q1","Low","0.95","8505.35","1.0526","Achieved"
"Drug D","Company W","Capsule","10 mg","60","1475","27251","2024-07-24 00:00:00","Africa","Richard Thomas","Online Pharmacy","Jul","Q3","Medium","0.9","24525.9","1.1111","Achieved"
"Drug C","Company X","Capsule","100 mg/ml","10 ml","290","16582","2024-05-08 00:00:00","Asia","Laura Gregory","Clinics","May","Q2","Low","0.95","15752.9","1.0526","Achieved"
"Drug C","Company X","Tablet","50 mg","60","677","20916","2024-03-20 00:00:00","Asia","David Castro","Online Pharmacy","Mar","Q1","Medium","0.95","19870.2","1.0526","Achieved"
"Drug B","Company Y","Injection","50 mg","10 ml","1728","30905","2023-12-13 00:00:00","North America","Jessica Webster","Hospitals","Dec","Q4","Medium","1.2","37086.0","0.8333","Below Target"
"Drug D","Company Y","Capsule","50 mg","10 ml","709","16636","2023-10-07 00:00:00","North America","Cristina Stevens","Clinics","Oct","Q4","Low","1.2","19963.2","0.8333","Below Target"
"Drug A","Company Y","Tablet","10 mg","60","1660","9172","2024-06-29 00:00:00","North America","Lauren Bryant","Supermarkets","Jun","Q2","Low","1.2","11006.4","0.8333","Below Target"
"Drug C","Company Z","Capsule","500 mg","60","1530","15055","2023-07-29 00:00:00","Asia","Adam Shelton","Supermarkets","Jul","Q3","Low","0.95","14302.25","1.0526","Achieved"
"Drug B","Company W","Tablet","500 mg","60","1804","17065","2023-09-22 00:00:00","Asia","Ashley Pittman","Hospitals","Sep","Q3","Low","0.95","16211.75","1.0526","Achieved"
"Drug C","Company V","Tablet","10 mg","10 ml","847","20074","2024-06-08 00:00:00","North America","Miss Amy Perry","Pharmacy","Jun","Q2","Medium","1.2","24088.8","0.8333","Below Target"
"Drug D","Company Z","Injection","10 mg","50 g","1944","25684","2024-03-27 00:00:00","Asia","Johnny Kim","Pharmacy","Mar","Q1","Medium","0.95","24399.8","1.0526","Achieved"
"Drug B","Company Y","Capsule","500 mg","100 ml","1882","14779","2024-06-15 00:00:00","Europe","Yvonne Rogers","Pharmacy","Jun","Q2","Low","1.1","16256.9","0.9091","Below Target"
"Drug C","Company W","Capsule","500 mg","50 g","377","20905","2024-02-28 00:00:00","Europe","Mr. Kevin Duffy","Hospitals","Feb","Q1","Medium","1.1","22995.5","0.9091","Below Target"
"Drug E","Company W","Injection","100 mg/ml","50 g","1784","11761","2023-08-26 00:00:00","Asia","Angela Brown","Pharmacy","Aug","Q3","Low","0.95","11172.95","1.0526","Achieved"
"Drug C","Company X","Injection","50 mg","100 ml","1414","29966","2024-05-12 00:00:00","Europe","Lauren Gilbert","Clinics","May","Q2","Medium","1.1","32962.6","0.9091","Below Target"
"Drug B","Company Z","Syrup","100 mg/ml","60","1782","32047","2023-12-24 00:00:00","Europe","Michael Solis","Hospitals","Dec","Q4","Medium","1.1","35251.7","0.9091","Below Target"
"Drug B","Company V","Syrup","100 mg/ml","30","221","40972","2024-06-11 00:00:00","Europe","Andre Skinner","Clinics","Jun","Q2","High","1.1","45069.2","0.9091","Below Target"
"Drug C","Company W","Syrup","10 mg","60","1221","15799","2023-09-12 00:00:00","North America","Jamie Martin","Clinics","Sep","Q3","Low","1.2","18958.8","0.8333","Below Target"
"Drug C","Company X","Cream","500 mg","60","1461","28440","2023-08-16 00:00:00","Africa","Allison Alvarado","Supermarkets","Aug","Q3","Medium","0.9","25596.0","1.1111","Achieved"
"Drug D","Company Z","Syrup","100 mg/ml","100 ml","1621","22584","2023-08-13 00:00:00","Asia","Amy Anderson","Online Pharmacy","Aug","Q3","Medium","0.95","21454.8","1.0526","Achieved"
"Drug A","Company Y","Capsule","50 mg","100 ml","587","49864","2023-10-13 00:00:00","Africa","Ariel Brown","Supermarkets","Oct","Q4","High","0.9","44877.6","1.1111","Achieved"
"Drug B","Company Y","Injection","10 mg","100 ml","902","15266","2023-10-14 00:00:00","South America","John Newman","Clinics","Oct","Q4","Low","1.1","16792.6","0.9091","Below Target"
"Drug C","Company Z","Cream","10 mg","10 ml","447","5128","2023-11-24 00:00:00","Asia","Jon Richardson","Supermarkets","Nov","Q4","Low","0.95","4871.6","1.0526","Achieved"
"Drug A","Company X","Injection","100 mg/ml","60","646","39113","2024-07-10 00:00:00","South America","Sarah Burnett","Pharmacy","Jul","Q3","Medium","1.1","43024.3","0.9091","Below Target"
"Drug D","Company V","Tablet","10 mg","100 ml","1135","12514","2023-08-27 00:00:00","Asia","Jason Bradley","Online Pharmacy","Aug","Q3","Low","0.95","11888.3","1.0526","Achieved"
"Drug B","Company X","Capsule","250 mg","50 g","1494","45452","2023-12-16 00:00:00","Africa","Brendan Harrington","Clinics","Dec","Q4","High","0.9","40906.8","1.1111","Achieved"
"Drug C","Company X","Tablet","50 mg","50 g","279","32754","2024-01-14 00:00:00","Africa","Danny Bernard","Hospitals","Jan","Q1","Medium","0.9","29478.6","1.1111","Achieved"
"Drug E","Company V","Syrup","50 mg","50 g","302","20937","2024-05-28 00:00:00","South America","Timothy Villanueva","Supermarkets","May","Q2","Medium","1.1","23030.7","0.9091","Below Target"
"Drug D","Company Z","Injection","10 mg","10 ml","1306","35777","2024-05-07 00:00:00","Europe","Jonathan Brown","Supermarkets","May","Q2","Medium","1.1","39354.7","0.9091","Below Target"
"Drug D","Company W","Capsule","500 mg","50 g","1372","47220","2023-11-27 00:00:00","North America","Amy Adams","Clinics","Nov","Q4","High","1.2","56664.0","0.8333","Below Target"
"Drug C","Company X","Tablet","10 mg","60","873","28524","2023-10-01 00:00:00","Asia","Lisa Williams","Hospitals","Oct","Q4","Medium","0.95","27097.8","1.0526","Achieved"
"Drug C","Company X","Tablet","10 mg","60","1075","4900","2023-11-21 00:00:00","Asia","Casey Coleman","Supermarkets","Nov","Q4","Low","0.95","4655.0","1.0526","Achieved"
"Drug A","Company Y","Cream","500 mg","10 ml","862","17179","2023-11-12 00:00:00","Europe","Samuel Lopez","Clinics","Nov","Q4","Low","1.1","18896.9","0.9091","Below Target"
"Drug C","Company W","Syrup","100 mg/ml","10 ml","1872","42474","2023-08-01 00:00:00","Asia","Joseph Johnson","Pharmacy","Aug","Q3","High","0.95","40350.3","1.0526","Achieved"
"Drug E","Company V","Syrup","10 mg","50 g","1041","45750","2024-06-14 00:00:00","Europe","Mark Reed","Hospitals","Jun","Q2","High","1.1","50325.0","0.9091","Below Target"
"Drug C","Company W","Capsule","10 mg","60","149","40553","2023-11-04 00:00:00","Europe","Maurice Mcintosh","Hospitals","Nov","Q4","High","1.1","44608.3","0.9091","Below Target"
"Drug C","Company X","Injection","500 mg","60","996","6016","2024-06-19 00:00:00","North America","Ryan Cardenas","Pharmacy","Jun","Q2","Low","1.2","7219.2","0.8333","Below Target"
"Drug B","Company Z","Injection","500 mg","60","1890","35859","2023-11-10 00:00:00","South America","Rachel Robinson","Clinics","Nov","Q4","Medium","1.1","39444.9","0.9091","Below Target"
"Drug B","Company X","Syrup","10 mg","30","770","15607","2023-10-17 00:00:00","Africa","Charles Wagner","Supermarkets","Oct","Q4","Low","0.9","14046.3","1.1111","Achieved"
"Drug E","Company Y","Injection","50 mg","30","727","3436","2024-02-01 00:00:00","Europe","Donna White","Online Pharmacy","Feb","Q1","Low","1.1","3779.6","0.9091","Below Target"
"Drug A","Company Z","Tablet","10 mg","100 ml","190","14001","2024-01-11 00:00:00","Europe","Shane Burke","Supermarkets","Jan","Q1","Low","1.1","15401.1","0.9091","Below Target"
"Drug D","Company X","Cream","500 mg","10 ml","1248","33631","2023-12-16 00:00:00","Asia","Daniel Newton","Clinics","Dec","Q4","Medium","0.95","31949.45","1.0526","Achieved"
"Drug D","Company Z","Syrup","50 mg","30","1183","39477","2024-03-16 00:00:00","North America","Anita Morgan","Clinics","Mar","Q1","Medium","1.2","47372.4","0.8333","Below Target"
"Drug A","Company Z","Tablet","250 mg","60","1394","13808","2024-04-17 00:00:00","Asia","Sheryl Ramos","Hospitals","Apr","Q2","Low","0.95","13117.6","1.0526","Achieved"
"Drug E","Company Z","Syrup","500 mg","100 ml","626","28471","2023-10-05 00:00:00","Europe","Robert Cline","Clinics","Oct","Q4","Medium","1.1","31318.1","0.9091","Below Target"
"Drug B","Company V","Injection","10 mg","60","1394","3360","2024-06-20 00:00:00","Europe","Katherine Smith","Hospitals","Jun","Q2","Low","1.1","3696.0","0.9091","Below Target"
"Drug B","Company X","Tablet","250 mg","30","1699","25685","2023-11-20 00:00:00","South America","Sarah Martin","Hospitals","Nov","Q4","Medium","1.1","28253.5","0.9091","Below Target"
"Drug E","Company W","Cream","250 mg","30","364","20390","2023-09-13 00:00:00","North America","Maria Sullivan","Hospitals","Sep","Q3","Medium","1.2","24468.0","0.8333","Below Target"
"Drug B","Company X","Injection","100 mg/ml","60","1120","22277","2023-08-26 00:00:00","South America","Janet Bates","Hospitals","Aug","Q3","Medium","1.1","24504.7","0.9091","Below Target"
"Drug D","Company Y","Cream","50 mg","10 ml","323","22108","2023-08-26 00:00:00","North America","Jorge Garcia","Online Pharmacy","Aug","Q3","Medium","1.2","26529.6","0.8333","Below Target"
"Drug E","Company X","Capsule","500 mg","30","1394","45719","2023-09-23 00:00:00","South America","Jacob Bennett","Online Pharmacy","Sep","Q3","High","1.1","50290.9","0.9091","Below Target"
"Drug B","Company V","Syrup","250 mg","30","515","10882","2024-03-28 00:00:00","Europe","Sarah Davila","Online Pharmacy","Mar","Q1","Low","1.1","11970.2","0.9091","Below Target"
"Drug D","Company Y","Capsule","50 mg","10 ml","1729","26352","2024-02-20 00:00:00","Europe","Carolyn Rhodes","Supermarkets","Feb","Q1","Medium","1.1","28987.2","0.9091","Below Target"
"Drug E","Company X","Capsule","50 mg","30","1208","39952","2024-03-10 00:00:00","South America","Erik Silva","Supermarkets","Mar","Q1","Medium","1.1","43947.2","0.9091","Below Target"
"Drug D","Company X","Syrup","10 mg","30","1657","21133","2024-03-28 00:00:00","Africa","Eric Lee","Clinics","Mar","Q1","Medium","0.9","19019.7","1.1111","Achieved"
"Drug A","Company W","Syrup","500 mg","60","1572","46966","2023-10-18 00:00:00","North America","David Bell","Pharmacy","Oct","Q4","High","1.2","56359.2","0.8333","Below Target"
"Drug A","Company Y","Injection","500 mg","60","901","37255","2023-10-25 00:00:00","Africa","Raymond Aguirre","Clinics","Oct","Q4","Medium","0.9","33529.5","1.1111","Achieved"
"Drug C","Company X","Injection","100 mg/ml","100 ml","814","11345","2024-02-08 00:00:00","Asia","Juan Webb","Supermarkets","Feb","Q1","Low","0.95","10777.75","1.0526","Achieved"
"Drug E","Company X","Injection","50 mg","10 ml","1124","18402","2023-12-30 00:00:00","South America","Matthew Johnson","Online Pharmacy","Dec","Q4","Low","1.1","20242.2","0.9091","Below Target"
"Drug B","Company X","Injection","250 mg","100 ml","1609","12823","2024-06-27 00:00:00","Asia","Daniel Poole","Online Pharmacy","Jun","Q2","Low","0.95","12181.85","1.0526","Achieved"
"Drug E","Company X","Injection","250 mg","50 g","846","39016","2024-02-20 00:00:00","South America","Joseph Howard","Clinics","Feb","Q1","Medium","1.1","42917.6","0.9091","Below Target"
"Drug A","Company V","Cream","250 mg","50 g","859","49397","2023-08-29 00:00:00","Africa","Madison Butler","Online Pharmacy","Aug","Q3","High","0.9","44457.3","1.1111","Achieved"
"Drug E","Company V","Tablet","250 mg","10 ml","389","3098","2024-05-10 00:00:00","Asia","Cameron Hunter","Hospitals","May","Q2","Low","0.95","2943.1","1.0526","Achieved"
"Drug B","Company Z","Injection","500 mg","60","1964","38375","2023-11-24 00:00:00","South America","James Smith","Clinics","Nov","Q4","Medium","1.1","42212.5","0.9091","Below Target"
"Drug A","Company Y","Injection","100 mg/ml","60","764","2858","2023-08-25 00:00:00","North America","Brian Dodson","Hospitals","Aug","Q3","Low","1.2","3429.6","0.8333","Below Target"
"Drug D","Company Y","Syrup","500 mg","30","1326","20696","2024-06-11 00:00:00","North America","Savannah Brown","Clinics","Jun","Q2","Medium","1.2","24835.2","0.8333","Below Target"
